Name,Meaning
Òkèyínká,Hills surround me.
Ògúnjẹ́milúsì,"1. Ògún allowed me to be successful, notable.
2. Ògún, let me be successful, notable."
Òkéwuyì,The hills are valuable.
Òkètọ̀nàdé,The hill came back through a path.
Ògúnwáre,Ògún sought goodness.
Òbídíyà,Parents blocked sufferings.
Òkunògbẹ,The ocean never dries.
Ògúnfowórà,Bought by Ògún with money.
Ògúnjìmí,Ògún entrusted me (with this).
Òbísànyà,Parents paid for (my) suffering.
Òkètókun,The mountain is as big/prominent/notable as the ocean.
Òbímákindé,Parents brought valor home.
Ọ̀shúnsan,The goddess Ọ̀ṣun is beneficial.
Ọ̀táìbáyọ̀mí,Enemies would have mocked/ridiculed me (but God refused/prevailed).
Òkètọ́lá,The hill is worth nobility.
Òṣúntúyì,Ọ̀ṣun is worth honouring.
Ọ̀nàọpẹ́pọ̀,The ways in which I'm grateful are many.
Òkéyọdé,The hills have arrived. The child of hills has arrived.
Ọ̀pánúbi,The Ọ̀pá deity has (a good) lineage.
Ògomìdé,My glory has come.
Ódùnmọ́lọ́runnínú,It pleased/pleases God.
Òkèbíọ̀run,A hill like heaven.
Ọ̀ṣúndoyin,Ọ̀ṣun becomes sweet(ness).
Ògúnlèyímú,Ògún is the one picked by this (child).
Ògúnrónbí,Ògún has found a child to birth.
Ògúnwẹ̀hìnwò,"Ogun, the god or iron looked back."
Ọ̀̀jẹ̀rìnọ́lá,The masquerade walks into wealth.
Ògúnṣemóyin,Ògún makes with honey.
Ògídíolú,A nickname for children named Àjàyí.
Ògúntúnmiṣe,Ògún repaired me. Ògún made me beautiful.
Ògúnràyí,Ògún bought this.
Ògúnsùsì,Ògún achieved fame.
Ògúnyọ̀óyè,Ògún rejoices in honour.
Ògúntúsà,Ògún is worth praising.
Ògúngbùre,Ògún receives blessings.
Ògúnríbidó,Ògún (or Ògún's people/worshippers/adherent) has found a place to settle.
Ògúndabẹdé,[Meaning unknown]
Ọ̀jerinsola,The masquerade walks into nobility.
Ọ̀pẹ̀sèyí,The Ifá divination made this.
Ọ̀pẹ̀tọ́lá,The Ifá divination (board) is worth success.
Ògúndèyí,Ògún became this.
Ògúndáìsí,Ògún has spared this.
Ọ̀ṣúnyọyin,Ọṣun brings the honey or Osun drizzles honey etc
Ọ̀rúngbèjà,Heaven defends.
Ògúnfèítìmí,Ògún used granted me this.
Ọ̀ṣúnṣàmì,Osun makes a mark or gives a sign (with/on this child).
Òbídòkun,Parents have become (like) the ocean.
Ògúnfèyítìmí,Ògún left this (child) with me.
Ọ̀shọ́,Beauty. Adornment.
Ọ̀nàjìn,The road is long
Ọ̀pẹ́rìndé,The palm tree walked in.
Ògúnfọlájì,Ògún entrusted us with success.
Ọ̀ṣúnfẹ́mi,Ọ̀ṣun loves me.
Òkúnmúyìdé,"1. The ocean brought this (one)
2. The ocean brought value"
Ògúnbọ́dẹdé,Ògún came with hunters.
Ògúnbẹ̀ńwò,Ogun paid me a visit.
Ògúndẹkùn,Ogun turns to a Leopard.
ògúndìjọ,Ògún becomes a gathering.
Ògúndọ́wọ́lé,"Ogún laid hands on, protected with his hands."
Ògúnfẹ́mi,Ògún loves me.
Ògúnfọlákànmí,Ògún touches me with wealth (gives me wealth).
Ògúngbè,Ògún  is beneficial
Ògúntólú,Ogun is supreme.
Ògúnǹdójútìmí,"Ògún, my deity protector has never let me down"
Ọ̀pánúgà,The Ọ̀pá deity has a throne.
Ọ̀sanyìnlókun,Osanyin worshipper possesses wealth/strength.
Òtítọ́lójù,Truth is paramount.
Ọ̀jẹ́bíyì,The masquerade gave birth to this.
Ọ̀nàọpẹ́mipọ̀fólúwa,I have many ways to give thanks to God.
Òkúnrìnbóyè,The ocean walked in to meet chieftaincy.
Òkèàgùnlà,The hill of success.
Òrìṣàdára,Òrìṣà is beautiful/good.
Ọ̀rẹ́ìtàn,Friend to history.
Ògúnráyéwá,Ògún has found a good life to come to.
Ògúnléndé,Ògún chased me here.
Ògúnmóyèró,"This is a family or compound name given to Ògún warriors and their descendants. Prominent Ògún worshippers as a sign of connection to their god, derive or coin their names from their god ""Ògún""."
Ọ̀ṣọ́bámirò,Ornaments/Jewels/Artistry stay with me.
Òkédáìró,The deity of the hill spared this one.
Ògúnbámbí,Ògún helped me birth (this).
Ògúnbámbọ̀,Ogun returned with me.
Ògúnwọlá,The god Ògún has entered our success.
Òkétáyọ̀,The deity of the hill is enough for joy/happiness.
Ọ̀bíṣẹ̀san,Parentage is good recompense.
Òde,Outing. Ceremony.
Ògúntádé,Ògún is worthy of the crown.
Ògúnfowókẹ́,Cherished by Ògún with money.
Ògúntáyọ̀,Ògún is worthy of joy.
Ọ̀ṣọ́sàmì,Artistry made a mark (on this child).
Ọ̀nàmíyólúwa,My path is clear to God.
Ògúndọlápọ̀,Ògún brings nobility together.
Òtúnígà,The (child of the) Otù (the Òṣùgbó secret society) has a royal courtyard. This Otù child is royalty.
Òbíkúnlé,Parents are aplenty in (our) home (to care for this child).
Ọ̀súnbíyí,Ọ̀ṣun gave birth to this.
Ọ̀gàńlá,The big leader
Ọ̀gábìyí,The masquerade gave birth to this.
Ògúnyọ̀ládé,"Ogun, the god of iron, rejoices in nobility/the crown."
Ọ̀ṣuntúnmiṣe,Ọ̀ṣun edified me. i.e. Ọ̀ṣun brought me to a state of beauty. Ọ̀ṣun repaired me.
Ọ̀rẹ́yẹmí,I deserve friendship.
Òrìshàgúnà,The Òrìṣà triumphs.
Ọ̀pádọ̀tun,The Ọ̀pá deity has been renewed.
Ọ̀nààrà,A miraculous way.
Òrìshàgúnnà,The Òrìṣà is correct.
Òkégbénlé,The god of the hill has lifted me up.
Òkétúmbí,The hills gave me a rebirth.
Òkunladé,Crowns are as vast as the sea. 
Ògúnmúsanmí,Ògún favours me (with this child).
Ọ̀rúnkọ̀yà,Heaven rejects suffering (on our behalf).
Òkèbùkọ́lá,The hills added to (our) wealth.
Ògúnwálé,The god of war has come home.
Ògúnríìíkẹ́,Ògún has found this (one) to cherish/pamper.
Ògúnyalé,Ògún came back home.
Òkìkíọlákàn,The fame of our nobility/success is widespread.
Óràmípadà,He (God) has redeemed me.
Ògúntúndé,The Òrìṣà Ògún returns.
Òkìkíjésù,The fame of Jesus.
Ọ̀ṣúnrẹ̀mí,The goddess Ọ̀ṣun consoled me.
Ọ̀shúnrẹ̀mí,See: Ọ̀ṣúnrẹ̀mí
Ọ̀ṣúndọjà,The goddess Ọ̀ṣun has become prosperous (like a marketplace).
Òrìsàmúyiwá,Òrìsà has brought this (one).
Òkéṣeéyìn,Òkè Ìbàdàn Hill is worthy of worshiping/praising/eulogizing.
Ògúndọjà,"See: Adédọjà, Ọládọjà, Ọ̀ṣúndọjà, etc"
Pàímọ́,Keep this (one) safe.
Pamílẹ́rìn,Make me laugh. Gladden my heart.
Pamílẹ́rínayọ̀,Cause me to laugh for joy.
Pàràkòyí,[unknown]
Paríọlá,Complete wealth.
Pàṣẹdà,Change authorities.
Pàsẹfúnmi,Command me.
Péjú,Be completely around. A short form of a longer name.
Pẹ̀láyọ̀,With joy.
Pẹ̀lúmi,With me.
Pẹ̀lúọlá,Together with wealth/nobility.
Pèmí,Call me.
Pèmísíre,Call me to goodness.
Pẹ̀rọ̀sáyémi,Invoke ease and calmness into my life.
Pẹ̀rọ̀sọ́lá,Invoke calmness to my wealth/nobility.
Pétérù,A Yorùbá version of Peter.
Péyìbòmí,Invoke honour to cover me.
Pípélayọ̀,Complete is (my) joy.
Pípéniṣẹ́olúwa,The work of God is complete.
Pípọ̀lọlá,(Our) success is plenteous.
Pọ̀jù,More than. Excess.
Pọ́nmilé,Respect me
Pópóọlá,The avenue to success.
Pọ̀róyè,(The child that comes from) a honourable lineage.
Rájí,
Rántí,Remember.
Ratan,
Rẹ̀mí,"1. Console me.
2. Common short form of a longer name: Rẹ̀mílẹ́kún, Adérẹ̀mí, etc"
Rẹ̀mílẹkún,Console me from crying.
Rẹ́nikẹ́,A shortened form of Morẹ́nikẹ́.
Rerelolú,Good is the lord.
Rerelolúwa,The lord is good.
Rereolúwa,The goodness of God.
Rewájú,Advance.
Rìnádé,Walk into royalty.
Rìndé,"Short for Ọlárìndé/Olúrìndé, etc."
Rìnlóyè,Walk to receive honour.
Rìnmáyọ̀,Walks with joy.
Rìnsádé,Walk into royalty.
Rìnsáyọ̀,Walk into joy.
Rìnsọlá,Walk into wealth.
Rìnsóyè,Walk into chieftaincy.
Ríyìkẹ́,We've found this one to cherish.
Rógbùwà,Wait to receive character.
Rọ́lákẹ́,I found a treasure to pamper/care for/shield.
Rọ́lárí,(One that has) seen wealth before.
Rọ́láyọ̀,Found wealth to rejoice over.
Rọ̀mádé,Hold unto crown.
Rọ́mọkẹ́,Found a child to cherish.
Rónkẹ́,(We have) Found someone to cherish.
Rọ́pò,To replace.
Rósanwó,Wait enough to be able to pay.
Róṣíji,Wait under the shadow.
Rótayọ̀,Wait with joy.
Rótayọ̀mi,Waiting with my joy.
Rótifá,Stand with Ifa.
Rótìlù,Stay with drumming.
Rótìmí,Stay/Wait with me.
Rótolú,Wait with God.
Rúnṣèwé,Nothing (evil) will happen to this (one).
Sabẹ́rẹ́dowó,(One who) turns needles into money.
Ṣàdáre,Orìṣà gave blessing. Òrìṣà vindicated me.
Ṣàdẹ̀kọ̀,The Òrìṣà became the obstacle (to evil)
Ṣàdẹ̀là,"1. Òrìshà becomes Ẹ̀là (or becomes clear). 
2. Òrìṣà offered clarity. [verification needed]. 
3. Ọbatálá has arrived into wealth."
Sadeomi,
Sádíkù,Sodiq
Sáfẹ́jọ́,Flee(ing) from acrimony.
Ṣàgúnnà,Òrìṣà is right.
Saidi,
Sàlàkọ́,Hang a white cloth (of Ọbàtálá).
Sàlámì,
Sàláù,unknown
Sàláwù,
Ṣaléwá,(One who) picks houses to come to.
Ṣàngóbáyọ̀,"1. The òrìṣà Sàngó meets joy.
2. Ṣàngó gave birth to joy."
Ṣàngóbíyì,Ṣàngó gave birth to this.
Ṣàngóbuyì,Ṣàngó is prestigious.
Ṣàngódáre,Ṣàngó pardoned/justified (me).
Ṣàngódélé,Ṣàngó arrived at home.
Ṣàngódèyí,Ṣàngó became this (one).
Ṣàngósànyà,Ṣàngó repaid my suffering.
Ṣàngówándé,"Sango seeks and finds me,"
Ṣàngówánwá,Ṣàngó sought me here.
Ṣàngówùnmí,Ṣàngó is attractive to me.
Ṣàngóyẹmí,Ṣàngó befits me.
Ṣàngóyọmí,Sango saves me.
Sànúsí,
Sanwó,Pay (money).
Sanwóolú,Pay the debt of the family head.
Sànyàolú,Pays back the debt of the lord.
Sàràkí,High chief.
Sàrùmí,Commander of the Cavalry.
Ṣàṣàènìyàn,Unique person. A rare breed.
Ṣàṣọrẹ́,The Òriṣà has provided a whip.
Ṣayọ̀,Make joy.
Ṣeéńi,Worth having.
Sefúnmi,...do for me.
Sẹ̀giladé,"1. The crown is ornaments of crown.
2. We have crowned ourselves with sẹ̀gi ornaments."
Ṣẹ̀gilọlá,"1. Ṣẹ̀gi is wealth.
2. One beautiful like blue Yorùbá beads."
Ṣẹ́gun,Be victorious. Conquer.
Ṣekóní,Make (things) so you can have (things).
Ṣelére,One who is born to set the house/family aright. 
Semílóore,Be kind to me. Make me a gift.
Ṣemílóre,Be kind to me.
Ṣemíre,Do good to me.
Ṣemóore,Made with goodness.
Ṣẹ̀nbánjọ,Ùsẹ̀n is in cooperation/agreement with me.
Ṣeníre,
Sẹńjọbí,One jointly born with Ùsẹ̀n.
Ṣẹ̀nnáìkè,Ùṣẹ̀n has prominence.
Sẹríkí,"Lieutenant. (Probably derived from ""Sarkin"", the Hausa word for king.)"
Ṣẹ̀san,(God) has avenged me.
Ṣẹ́tẹ̀,Conquer intrigues.
Ṣetèmi,... attended to my cause.
Ṣeun,Did good.
Seunfúnmi,Done good for me.
Ṣewéjẹ́,(One who) prepares the leaves that heal.
Sẹ̀yẹ,Make honour.
Ṣèyí,Does this.
Sèyífúnmi,Do/did this for me.
Ṣèyíṣayọ̀,Let this be a cause for joy.
Ṣèyítójù,Make the best.
Shábà,"User meaning: ""The child next to the throne"". [verification needed]"
Ṣhàdáre,The Òrìṣà gave blessings.
Shàdẹ̀kọ̀,The Òrìṣà became rejection (of evil).
Shàdẹ̀là,The Òrìṣà became clarity.
Shákúnlé,Short form of Òrìṣàkúnlé: The Òrìṣà fills the house.
Shàngóbíyì,Sango gave birth to this.
Shefúnmi,(God has) done it for me.
Shekóní,Make (things) so you can have (things).
Shẹ́lẹ̀rú,Spring water.
Shíjúadé,"1. Open the eyes of royalty.
2. Opens the eyes to see royalty."
Shìkẹ́mi,Take care of me.
Shílẹ̀kùnọlà,Open the door to success.
Shinyanbọ́lá,Meet wealth/nobility with mirth.
Shíttà,
Shíttù,"From the Arabic name 'Shiith', the first prophet after Adam. Means ""appointed""."
Shóbẹ̀rù,The Oṣó is worth being feared.
Shóbíyè,The sorcerer gave live birth (to this).
Shóbọ́lá,The sorcerer didn't meet wealth.
Ṣhódípẹ̀,The fertitlity god repaid our debts.
Shódùnkẹ́,"The sorcerer is good to care for, cherish."
Shófọláhàn,The sorcerer unveils nobility.
Shófolúwẹ̀,The sorcerer bathes with nobility.
Shófowórà,What the sorcerer bought with money.
Shógbàmímú,The gods held me firm.
Shógbẹ̀san,The sorcerer revenged.
Shógbóyèga,The sorcerer elevated the chieftaincy.
Shógúnlẹ̀,The sorcerer has landed.
Shókálù,The sorcerer is famous around town.
Shókọ̀yà,The fertility god rejected suffering.
Shọlá,Make wealth.
Shólàńkẹ́,Another way of writing Sólàńkẹ́: The sorcerer is who we're taking care of.
Shọlápé,Make wealth complete.
Shọ́lédolú,(One who) watch the house until the leader returns.
Shólọlá,The sorcerer has prominence/wealth/notability.
Shólọtán,The sorcerer is completely departed.
Shónáìkè,The sorcerer is famous.
Shónẹ́kàn,The sorcerer has got an offshoot.
Shónẹ́yìn,One with strong ones (or sorcerers) in their bloodline.
Shóníyì,The sorcerer has honour.
Shónóìkí,The sorcerer has notability.
Shọpẹ́,Be thankful.
Shórúngbé,The sorcerer finds someone to carry.
Shótáyọ̀,The fertility god is worth joy.
Shótúbọ̀,The sorcerer remains.
Shotuyo,
Shùbòmí,Gather around me.
Ṣíjibòmí,Protect/Cover me under your shade/shadow.
Síjúadé,Opens his eyes to see the crown.
Ṣíjúọlá,Open the eyes of wealth.
Síjúwadé,Glimpses royalty.
Ṣíjúwọlá,(I) opened my eyes to wealth.
Ṣìkẹ́mi,Take care of me.
Síkírátù,"Memory, recollection, remembrance, thoughts of the past."
Ṣíkúadé,Disclose the death of the king.
Ṣílẹ̀kùnọlà,Open the door to success.
Simbọ̀,(The child) returned with me.
Similé,Rest on (God).
Similéolúwa,Rest on the lord. Rely on the lord. Lean on the lord.
Similólú,Rest/Rely on God.
Similólúwa,Rely on God.
Simisáyé,Rest in the world.
Simisọ́lá,"Rest in wealth/nobility/success, etc."
Simisọ́láolúwa,Rest in the wealth/benefit of God.
Sìndélé,Escort me home.
Sinmi,Rest.
Sìnmídélé,Escort me home.
Sinmilé,Rest on (God).
Sinmilólú,Rest or rely on the lord.
Sinmilólúwa,Rest or rely on the lord.
Sinmisọ́lá,Rest in wealth.
Ṣiyanbádé,Strut into royalty.
Ṣiyanbọ́lá,Meet wealth with mirth/conviviality.
Ṣiyọnbọ́lá,Meet wealth/nobility with mirth.
Ṣóàga,
Ṣóbàjò,The sorcerer returns from a journey.
Ṣọ́balójú,One who watches the king's face.
Sóbándé,The deity of fertility came with me.
Sóbáyọ̀,The sorcerer met joy.
Ṣóbẹ̀rù,The Oṣó deserves to be feared.
Ṣóbíyè,
Ṣóbíyi,The god of fertility birthed this.
Ṣóbọ̀,The deity of fertility returned.
Ṣóbódù,The sorcerer meets the Odù.
Ṣóbọlá,The fertility deity met wealth.
Ṣóbọ̀wálé,The sorcerer has returned home.
Ṣóbóyèjo,"The sorcerer (or Òrìṣà oko, the god of fertility) is at one with honour/chieftaincy."
